date,sun_distance_au,sun_influence,jupiter_distance_au,jupiter_influence,saturn_distance_au,saturn_influence,venus_distance_au,venus_influence,mars_distance_au,mars_influence,total_planetary_influence,total_influence,coherence_mean,coherence_median,coherence_std,coherence_count,year
2024-04-17,150165795.63593888,1.4764942454722188e-11,884582855.811134,4.0614102155483877e-16,1559936509.2436814,3.9122185076145535e-17,249752530.13234672,1.3065854439425228e-17,303609222.29080594,1.1607905370020768e-18,4.594898516074116e-16,1.4765401944573797e-11,0.01130138096495834,0.02716457049018196,0.718587029834741,43637,2024
2024-04-18,150206452.4508197,1.4756950597109543e-11,885567291.3847147,4.052385549781563e-16,1558246702.326146,3.920708149732994e-17,250132706.79829705,1.3026167042141138e-17,303042058.4553211,1.1651395999526553e-18,4.5863694311758e-16,1.475740923405266e-11,0.006030536780344808,0.008935931877643261,0.7180873262121421,43048,2024
2024-04-19,150246997.87198594,1.4748987096290283e-11,886523443.9451426,4.0436489295974916e-16,1556529304.77674,3.9293647541491516e-17,250506204.58433735,1.2987352693516752e-17,302475403.61548626,1.1695092142881568e-18,4.578154024090456e-16,1.4749444911692693e-11,-0.00011059638066977258,0.006397383469831982,0.7139135266750313,41018,2024
2024-04-20,150287449.55366206,1.47410484289043e-11,887451246.3685818,4.03519833325057e-16,1554784718.1257899,3.93818779337537e-17,250872998.99354032,1.2949403564279757e-17,301909257.4805822,1.1738994998372751e-18,4.570250143229277e-16,1.4741505453918623e-11,0.019756061562464927,0.040943239092573344,0.7153936257462002,41596,2024
2024-04-21,150327821.5847155,1.473313178187053e-11,888350633.7159224,4.0270318074671955e-16,1553013342.2331789,3.9471767558870267e-17,251233061.34014282,1.2912312494808433e-17,301343612.7149688,1.1783106323651014e-18,4.562655714327633e-16,1.4733588047441962e-11,0.011783001284208108,0.02078773579377559,0.7135209356340653,41596,2024
2024-04-22,150368124.14685944,1.4725235116430886e-11,889221542.3827348,4.0191474743488233e-16,1551215575.1512213,3.9563311462048644e-17,251586358.56886625,1.2876073000985567e-17,300778454.82542735,1.1827428460218032e-18,4.555368747439383e-16,1.472569065330563e-11,0.028998129600019164,0.05741091365055559,0.7135158027160078,42758,2024
2024-04-23,150408362.9679113,1.4717357272011715e-11,890063909.0681862,4.0115435398033804e-16,1549391812.9230006,3.9656504853312986e-17,251932852.870311,1.2840679301192888e-17,300213761.91084677,1.187196436941288e-18,4.548387345717852e-16,1.4717812110746287e-11,-0.0024623156393461074,-0.0028489137519854255,0.7172521621901267,42172,2024
2024-04-24,150448538.60544884,1.470949810276453e-11,890877669.5535885,4.0042183035744453e-16,1547542449.4541287,3.975134310840814e-17,252272501.1502913,1.2806126358004724e-17,299649504.38713735,1.1916717671366948e-18,4.541709715909941e-16,1.470995227373612e-11,0.0073188305078937905,0.016899984018240624,0.7215036342481008,43342,2024
2024-04-25,150488645.64272368,1.4701658630607598e-11,891662757.3506652,3.9971701703179243e-16,1545667876.6079736,3.9847821758422185e-17,252605254.44581583,1.277240992486303e-17,299085644.8161587,1.1961692676730286e-18,4.535334179827506e-16,1.4702112164025582e-11,0.0022969279127439475,0.007024321025352153,0.7166431994236664,42755,2024
2024-04-26,150528671.90519285,1.4693841193523548e-11,892419102.3310124,3.99039766073197e-16,1543768484.655324,3.994593646105683e-17,252931057.3950223,1.2739526586877017e-17,298522137.9584046,1.2006894401237267e-18,4.529259185612546e-16,1.4694294119442108e-11,0.018324442591731254,0.04278148965001645,0.7276427341397571,41305,2024
