code,coord_source_code,lat_deg,lon_deg,height_m,X,Y,Z,geomag_lat,geomag_lon,has_coordinates
BADG00RUS,BADG,51.77,102.235,811.4,-838281.513,3865777.334,4987624.632,57.503144285880786,102.235,True
BAHR00BHR,BAHR,26.209,50.608,-17.03,3633909.10164655,4425275.50331067,2799861.27363811,23.841194183305944,50.608,True
BAIE00CAN,BAIE,49.187,-68.263,27.5,1546823.34,-3879765.13,4804185.05,55.53142010344704,-68.263,True
BAKE00CAN,BAKE,64.318,-96.002,4.4,-289833.93,-2756501.06,5725162.22,76.13667343144132,-96.002,True
BAKO00IDN,BAKO,-6.49,106.85,158.18,-1836969.054,6065617.126,-716257.839,-15.946036115174834,106.85,True
BAMF00CAN,BAMF,48.835,-125.135,11.1,-2420721.2,-3439856.061,4778532.675,52.83536546801299,-125.135,True
BAN200IND,BAN2,13.034,77.512,831.9,1344087.6814,6068610.2662,1429291.9412,7.628664763395963,77.512,True
BARB00BRB,BARB,13.088,-59.609,-86.278,3143385.2691,-5359662.8671,1434851.4054,16.60155839855263,-59.609,True
BARH00USA,BARH,44.395,-68.222,6.8,1693644.846,-4239067.57,4439567.239,50.208111084166205,-68.222,True
BAUT00DEU,BAUT,51.192,14.522,211.8,3877545.5,1004370.9,4947148.1,49.7738769965459,14.522,True
BDOS00BRB,BDOS,13.088,-59.609,-38.6,3143382.231,-5359714.831,1434875.797,16.601594215339983,-59.609,True
BELE00BRA,BELE,-1.409,-48.463,9.08,4228139.05,-4772752.08,-155761.38,-2.8331821600824125,-48.463,True
BHPL00IND,BHPL,23.289,77.467,445.8,1272089.4754,5722251.529,2506322.1867,20.353256856444588,77.467,True
BHR100BHR,BHR1,26.209,50.608,-13.9,3633910.757,4425277.729,2799862.795,23.841189451223116,50.608,True
BHR200BHR,BHR2,26.209,50.608,-13.9,3633910.757,4425277.729,2799862.795,23.841189451223116,50.608,True
BHR300BHR,BHR3,26.209,50.608,-13.9,3633910.66,4425277.759,2799862.907,23.841189451223116,50.608,True
BHR400BHR,BHR4,26.209,50.608,-13.9,3633910.66,4425277.759,2799862.907,23.841189451223116,50.608,True
BIK000KGZ,BIK0,42.854,74.533,749.2,1249005.5455,4513917.3461,4316147.9247,45.2831069784959,74.533,True
